Marca temporal;Âge;Sexe  ;1. Quels éléments suivants vous inciterez à recycler ? :  [Objets matériels (nourriture, boissons, objets fonctionnels, etc.)];1. Quels éléments suivants vous inciterez à recycler ? :  [Taxes (économiques ou légales)];1. Quels éléments suivants vous inciterez à recycler ? :  [Statut (récompenses, prix, visibilité dans votre communauté)];1. Quels éléments suivants vous inciterez à recycler ? :  [Satisfaction environnementale];2. Recycleriez-vous le plastique différemment en utilisant un point de collecte? :  ;3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Votre maison];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Votre rue];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Votre quartier];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Un quartier proche];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Un quartier éloigné];4. Pourquoi recyclez-vous ?  (Vous pouvez cocher plus d'une option);5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [L'élément incitatif];5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [La publicité];5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [La disponibilité des points de collecte];5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [Le fait de connaître le résultat du recyclage];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je trouve l'idée de recycler agréable];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je considère que le recyclage vaut le temps qu'il prend];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je pense que le recyclage a du sens];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je pense que le recyclage est une perte de temps ];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [L'élément incitatif];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [La publicité];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [La disponibilité des points de collecte];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [Le fait de connaître le résultat du recyclage];8. Le circuit de recyclage expérimenté vous semble-t-il attractif ? (scanner le produit et obtenir des informations, savoir où se trouve le point de collecte le plus proche, obtenir des points en recyclant et les échanger contre des avantages)  ;9.  Savez-vous combien vous payez pour la collecte et le traitement de vos déchets d'emballage ? ;10. Vous abonneriez-vous à un plan annuel payant pour obtenir ces fonctionnalités et d'autres avantages ?;11. Pourquoi avez-vous participé à notre expérience ?  ( Vous pouvez cocher plus d'une option);12. Selon l'expérience de l'application que vous venez de tester, ¿Quelles autres fonctionnalités vous sembleraient attractives dans une application comme celle-ci ?  ;otro
2024/06/07 7:45:31 p. m. EEST;50 - 60;Homme;5;3;4;5;Oui;5;5;5;4;2;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;4;2;4;5;3;5;5;1;3;2;4;5;Oui;Je ne sais pas;Oui;Par curiosité;Donner des astuces pour réduire la consommation de plastique,,,,,,,;.
;20 - 30;Homme;3;5;5;4;Non;;;;;;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges;5;4;2;2;4;5;5;1;5;5;4;5;Oui;Je ne sais pas;Non;Par curiosité,Pour le désir de participer;Présenter des alternatives à la demande de l’utilisateur pour réduire l’utilisation du déchet scanné;.
2024/06/07 8:32:18 p. m. EEST;40 - 50;Homme;1;4;5;1;Oui;1;1;1;2;1;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);1;4;4;1;1;1;1;5;1;1;1;1;Oui;Je ne sais pas;Non;Par curiosité,Pour l'environnement;;.
2024/06/08 1:21:47 p. m. EEST;40 - 50;Homme;3;5;4;5;Oui;5;5;5;5;4;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);4;3;5;5;5;5;5;1;5;4;5;5;Oui;Je ne sais pas;Non;Par curiosité,Pour le désir de participer,Pour l'environnement;;.
2024/06/08 2:14:27 p. m. EEST;30 - 40;Homme;2;4;4;2;Oui;5;5;5;4;2;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges;5;5;5;5;5;3;4;1;5;5;5;5;Oui;Je ne sais pas;Non;Par curiosité;Gamification in the user interface;.
2024/06/08 2:54:22 p. m. EEST;> 60;Femme;5;4;5;4;Oui;5;5;5;4;4;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);4;3;3;2;5;4;4;1;5;4;5;5;Oui;100€ - 200€ / an;Non;Par curiosité,Pour la publicité,Pour le désir de participer,Pour l'environnement;;.
2024/06/08 4:32:37 p. m. EEST;40 - 50;Homme;5;4;2;5;Oui;5;5;5;4;2;Pour protéger l'environnement,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;4;3;5;5;4;5;5;1;4;4;5;5;Oui;Je ne sais pas;Non;Par curiosité,Pour le désir de participer,Pour l'environnement;;.
2024/06/08 4:43:49 p. m. EEST;20 - 30;Homme;3;5;2;5;Oui;5;5;5;3;2;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;3;3;5;4;5;4;4;1;3;3;5;4;Oui;100€ - 200€ / an;Non;Par curiosité,Pour le désir de participer,Pour l'environnement;;.
2024/06/08 5:18:41 p. m. EEST;> 60;Homme;5;1;5;5;Oui;5;5;5;5;5;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;5;3;2;2;5;5;5;1;5;5;5;5;Oui;Je ne sais pas;Oui;Pour l'environnement;;.
2024/06/08 5:45:52 p. m. EEST;50 - 60;Homme;5;2;4;5;Non;;;;;;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour contribuer à la durabilité;1;1;5;5;4;2;5;1;5;5;5;2;Oui;100€ - 200€ / an;Non;Pour le désir de participer,Pour l'environnement;;.
2024/06/08 5:49:49 p. m. EEST;30 - 40;Femme;5;4;2;4;Oui;5;5;4;2;1;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;1;3;5;5;5;5;5;1;4;3;5;5;Oui;Je ne sais pas;Non;Par curiosité,Pour le désir de participer,Pour l'environnement;Identification de produits sans code de barres ;.
2024/06/08 6:04:52 p. m. EEST;50 - 60;Femme;5;4;5;5;Oui;5;5;5;5;4;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);3;3;4;4;5;5;5;1;5;3;4;4;Oui;Je ne sais pas;Ne sais pas;Pour le désir de participer;Facilite;.
2024/06/08 6:45:37 p. m. EEST;20 - 30;Homme;5;5;3;3;Oui;3;4;4;4;2;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour contribuer à la durabilité;5;3;5;5;4;4;5;1;5;3;5;4;Oui;Je ne sais pas;Non;Pour l'environnement;;.
2024/06/08 6:50:20 p. m. EEST;30 - 40;Homme;5;5;4;5;Oui;5;5;5;5;5;Pour protéger l'environnement;5;5;5;5;5;5;5;1;4;4;5;4;Oui;Gratuit;Oui;Pour l'environnement;Good work. Lot of such work réquqre  ;.
2024/06/08 6:58:43 p. m. EEST;20 - 30;Homme;2;5;1;4;Oui;5;5;4;3;1;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;1;1;5;3;5;4;5;1;5;3;5;5;Non;Gratuit;Dépend du prix ;Par curiosité,Pour le désir de participer;Voir les points de mes amis ;.
2024/06/08 6:58:55 p. m. EEST;20 - 30;Homme;5;5;5;5;Oui;2;5;5;5;1;Pour protéger l'environnement,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;5;1;4;5;5;2;5;1;5;1;4;5;Oui;Je ne sais pas;Prix;Par curiosité,Pour le désir de participer;Le futur des bouteilles? Que deviennent les dechets?;.
2024/06/08 7:06:26 p. m. EEST;20 - 30;Femme;5;5;5;5;Non;;;;;;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour des raisons économiques (économies d'argent, génération de revenus);5;4;5;5;5;1;5;1;3;4;5;4;Oui;Je ne sais pas;Non;Par curiosité,Pour le désir de participer;;.
2024/06/08 7:07:40 p. m. EEST;50 - 60;Homme;5;5;5;5;Oui;3;5;5;5;3;Pour économiser les ressources naturelles;5;1;5;5;4;3;3;1;5;1;5;5;Oui;100€ - 200€ / an;Non;Par curiosité,Pour le désir de participer;;.
2024/06/08 7:56:25 p. m. EEST;40 - 50;Femme;5;5;5;5;Oui;5;1;1;1;1;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles;5;5;5;5;5;5;5;1;5;5;5;5;Non;Je ne sais pas;Non;Par curiosité,Pour le cadeau,Pour la publicité,Pour le désir de participer,Pour l'environnement;Faire les points de collecte plus accessibles pour fauteuills roulants.;.
2024/06/08 8:28:00 p. m. EEST;20 - 30;Femme;5;5;1;5;Oui;5;5;5;1;1;Pour protéger l'environnement,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;1;1;5;5;5;5;5;1;5;5;5;5;Oui;100€ - 200€ / an;Oui;Pour le désir de participer,Pour l'environnement;Ras pour le moment ;.
2024/06/08 8:31:07 p. m. EEST;30 - 40;Femme;5;2;2;5;Oui;5;5;5;4;3;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;3;3;5;5;4;4;4;1;2;3;5;5;Oui;Je ne sais pas;Non;Pour l'environnement;;.
2024/06/08 8:31:45 p. m. EEST;20 - 30;Femme;2;3;1;3;Oui;4;4;4;3;2;Pour protéger l'environnement,Pour contribuer à la durabilité;3;1;3;2;3;4;4;1;3;1;4;4;Oui;Je ne sais pas;Non;Par curiosité,Pour le désir de participer;Capitaliser les quantités recyclées ou faire une équivalence ? Par exemple : 40 bouteilles recyclées permettent de faire… ;.
2024/06/08 8:35:25 p. m. EEST;30 - 40;Femme;4;5;4;5;Oui;4;5;3;3;2;Pour protéger l'environnement,Pour contribuer à la durabilité;4;2;5;4;5;3;5;1;4;3;5;4;Oui;50 € / an;Non;Par curiosité;;.
2024/06/08 8:36:30 p. m. EEST;20 - 30;Homme;5;3;3;5;Oui;5;5;4;2;1;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;4;3;5;4;5;4;5;1;5;2;5;1;Oui;Je ne sais pas;Oui;Par curiosité,Pour le cadeau;;.
